"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"2","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"3","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"4","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"5","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"6","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"7","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"8","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","2.0","0.0","0.0","0.2","0.0","1.0","1.0","1.0","0.1","0.1","2.0","0.0","0.0","0.2","0.0","1.0","0.0","0.0","0.1","0.0","0.0","5.0","0.0","0.0","0.5","4.0","4.0","16.0","0.4","0.4","1.0","2.0","2.0","0.1","0.2"
"9","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","2.0","0.0","0.0","0.2","0.0","1.0","1.0","1.0","0.1","0.1","2.0","0.0","0.0","0.2","0.0","1.0","0.0","0.0","0.1","0.0","0.0","5.0","0.0","0.0","0.5","4.0","4.0","16.0","0.4","0.4","1.0","2.0","2.0","0.1","0.2"
"10","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","2.0","0.0","0.0","0.2","0.0","1.0","1.0","1.0","0.1","0.1","2.0","0.0","0.0","0.2","0.0","1.0","0.0","0.0","0.1","0.0","0.0","5.0","0.0","0.0","0.5","4.0","4.0","16.0","0.4","0.4","1.0","2.0","2.0","0.1","0.2"
