"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2550607","0.5384615","0.24358974358974358","2.923076923076923","4.0","0","1.0","0","2.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"1","0.2550607","0.5384615","0.24358974358974358","2.923076923076923","4.0","0","1.0","0","2.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"2","0.2550607","0.5384615","0.24358974358974358","2.923076923076923","4.0","0","1.0","0","2.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"3","0.2550607","0.5384615","0.24358974358974358","2.923076923076923","4.0","0","1.0","0","2.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"4","0.2550607","0.5384615","0.24358974358974358","2.923076923076923","4.0","0","1.0","0","2.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"5","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.06410256","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03333333","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01366120","2.0","0","3.0","0"
"6","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.09966777","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01984127","2.0","0","3.0","0"
"7","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1196809","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05357143","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02259036","2.0","0","3.0","0"
"8","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1307190","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05555556","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02364066","2.0","0","3.0","0"
"9","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1363636","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05555556","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02380952","2.0","0","3.0","0"
"10","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1386749","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05454545","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02351097","2.0","0","3.0","0"
"11","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1388889","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05303030","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02296588","2.0","0","3.0","0"
"12","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1377727","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05128205","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02229654","2.0","0","3.0","0"
"13","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1358149","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04945055","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02157239","2.0","0","3.0","0"
"14","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02083333","2.0","0","3.0","0"
"15","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1305380","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04583333","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02010234","2.0","0","3.0","0"
"16","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1275691","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04411765","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01939237","2.0","0","3.0","0"
"17","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1245211","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04248366","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01871042","2.0","0","3.0","0"
"18","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1214575","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04093567","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01805986","2.0","0","3.0","0"
"19","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1184211","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03947368","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01744186","2.0","0","3.0","0"
"20","0.2571429","0.525","0.21978021978021978","2.857142857142857","4.0","0","1.0","0","2.0","0","4.0","0.1154401","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03809524","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01685630","2.0","0","3.0","0"
