"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3571429","0.5476190","0.2857142857142857","1.7142857142857142","1.0","0","4.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.3571429","0.5476190","0.2857142857142857","1.7142857142857142","1.0","0","4.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.3571429","0.5476190","0.2857142857142857","1.7142857142857142","1.0","0","4.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.3571429","0.5476190","0.2857142857142857","1.7142857142857142","1.0","0","4.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.3571429","0.5476190","0.2857142857142857","1.7142857142857142","1.0","0","4.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.07575758","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.02688172","1.0","0","2.0","0"
"6","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1190476","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03861004","1.0","0","2.0","0"
"7","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1442308","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04360465","1.0","0","2.0","0"
"8","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1587302","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04535147","1.0","0","2.0","0"
"9","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04545455","1.0","0","2.0","0"
"10","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1704545","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04470939","1.0","0","2.0","0"
"11","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1715686","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04353234","1.0","0","2.0","0"
"12","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1709402","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04214963","1.0","0","2.0","0"
"13","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1691729","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04068716","1.0","0","2.0","0"
"14","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03921569","1.0","0","2.0","0"
"15","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1636905","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03777473","1.0","0","2.0","0"
"16","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1604278","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03638569","1.0","0","2.0","0"
"17","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1570048","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03505933","1.0","0","2.0","0"
"18","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1535088","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03380010","1.0","0","2.0","0"
"19","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03260870","1.0","0","2.0","0"
"20","0.3557692","0.5288462","0.23214285714285715","1.625","1.0","0","2.0","0.1465201","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","0.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03148367","1.0","0","2.0","0"
