"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2788462","0.625","0.23214285714285715","1.625","1.0","0","4.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","0.0","","0.0"
"1","0.2788462","0.625","0.23214285714285715","1.625","1.0","0","4.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","0.0","","0.0"
"2","0.2788462","0.625","0.23214285714285715","1.625","1.0","0","4.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","0.0","","0.0"
"3","0.2788462","0.625","0.23214285714285715","1.625","1.0","0","4.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","0.0","","0.0"
"4","0.2788462","0.625","0.23214285714285715","1.625","1.0","0","4.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","0.0","","0.0"
"5","0.2788462","0.625","0.23214285714285715","1.625","1.0","0","4.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","0.0","","0.0"
"6","0.2857143","0.6031746","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0.06593407","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.01993355","1.0","0","2.0","0"
"7","0.2857143","0.6031746","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0.1071429","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03","1.0","0","2.0","0"
"8","0.2857143","0.6031746","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0.1333333","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03508772","1.0","0","2.0","0"
"9","0.2857143","0.6031746","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0.15","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.0375","1.0","0","2.0","0"
"10","0.2857143","0.6031746","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0.1604278","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03841229","1.0","0","2.0","0"
