"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2866667","0.5933333","0.16666666666666666","1.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0","1.0","0","1.0","0","0.0","","0.0"
"1","0.2866667","0.5933333","0.16666666666666666","1.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0","1.0","0","1.0","0","0.0","","0.0"
"2","0.2866667","0.5933333","0.16666666666666666","1.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0","1.0","0","1.0","0","0.0","","0.0"
"3","0.2866667","0.5933333","0.16666666666666666","1.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0","1.0","0","1.0","0","0.0","","0.0"
"4","0.2866667","0.5933333","0.16666666666666666","1.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0","1.0","0","1.0","0","0.0","","0.0"
"5","0.2866667","0.5933333","0.16666666666666666","1.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0","1.0","0","1.0","0","0.0","","0.0"
"6","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.04285714","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.01714286","1.0","0","1.0","0","1.0","0","1.0","0"
"7","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.06818182","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.02586207","1.0","0","1.0","0","1.0","0","1.0","0"
"8","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.08333333","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03030303","1.0","0","1.0","0","1.0","0","1.0","0"
"9","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09230769","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03243243","1.0","0","1.0","0","1.0","0","1.0","0"
"10","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09740260","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03325942","1.0","0","1.0","0","1.0","0","1.0","0"
"11","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.1","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03333333","1.0","0","1.0","0","1.0","0","1.0","0"
"12","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.1009615","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03296703","1.0","0","1.0","0","1.0","0","1.0","0"
"13","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.1008403","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03234501","1.0","0","1.0","0","1.0","0","1.0","0"
"14","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.1","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03157895","1.0","0","1.0","0","1.0","0","1.0","0"
"15","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09868421","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.03073770","1.0","0","1.0","0","1.0","0","1.0","0"
"16","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09705882","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.02986425","1.0","0","1.0","0","1.0","0","1.0","0"
"17","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09523810","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.02898551","1.0","0","1.0","0","1.0","0","1.0","0"
"18","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09330144","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.02811824","1.0","0","1.0","0","1.0","0","1.0","0"
"19","0.2840909","0.5795455","0.14545454545454545","1.4545454545454546","2.0","0","2.0","0.09130435","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0.02727273","1.0","0","1.0","0","1.0","0","1.0","0"
