"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3073770","0.5713115","0.16052631578947368","3.05","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","8.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","7.0","0","9.0","0","1.0","0","17.0","0","0.0","","0.0"
"1","0.3073770","0.5713115","0.16052631578947368","3.05","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","8.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","7.0","0","9.0","0","1.0","0","17.0","0","0.0","","0.0"
"2","0.3073770","0.5713115","0.16052631578947368","3.05","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","8.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","7.0","0","9.0","0","1.0","0","17.0","0","0.0","","0.0"
"3","0.3073770","0.5713115","0.16052631578947368","3.05","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","8.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","7.0","0","9.0","0","1.0","0","17.0","0","0.0","","0.0"
"4","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.08888889","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01739130","7.0","0","9.0","0","1.0","0","18.0","0.009302326","2.0","0","4.0","0"
"5","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02380952","7.0","0","9.0","0","1.0","0","18.0","0.01282051","2.0","0","4.0","0"
"6","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1558442","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02597403","7.0","0","9.0","0","1.0","0","18.0","0.01405152","2.0","0","4.0","0"
"7","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1666667","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02631579","7.0","0","9.0","0","1.0","0","18.0","0.01428571","2.0","0","4.0","0"
"8","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1709402","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02583979","7.0","0","9.0","0","1.0","0","18.0","0.01406470","2.0","0","4.0","0"
"9","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1714286","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.025","7.0","0","9.0","0","1.0","0","18.0","0.01363636","2.0","0","4.0","0"
"10","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1696970","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02401372","7.0","0","9.0","0","1.0","0","18.0","0.01312090","2.0","0","4.0","0"
"11","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1666667","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02298851","7.0","0","9.0","0","1.0","0","18.0","0.01257862","2.0","0","4.0","0"
"12","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1628959","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02197802","7.0","0","9.0","0","1.0","0","18.0","0.01204013","2.0","0","4.0","0"
"13","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1587302","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02100840","7.0","0","9.0","0","1.0","0","18.0","0.01152074","2.0","0","4.0","0"
"14","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1543860","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02009132","7.0","0","9.0","0","1.0","0","18.0","0.01102757","2.0","0","4.0","0"
"15","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.15","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01923077","7.0","0","9.0","0","1.0","0","18.0","0.01056338","2.0","0","4.0","0"
"16","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1456583","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01842665","7.0","0","9.0","0","1.0","0","18.0","0.01012855","2.0","0","4.0","0"
"17","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1414141","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01767677","7.0","0","9.0","0","1.0","0","18.0","0.009722222","2.0","0","4.0","0"
"18","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1372998","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01697793","7.0","0","9.0","0","1.0","0","18.0","0.009342884","2.0","0","4.0","0"
"19","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01632653","7.0","0","9.0","0","1.0","0","18.0","0.008988764","2.0","0","4.0","0"
"20","0.3038549","0.5684051","0.15","3.0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","4.0","0.1295238","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01571891","7.0","0","9.0","0","1.0","0","18.0","0.008658009","2.0","0","4.0","0"
