"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2375566","0.6085973","0.19117647058823528","3.0588235294117645","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","8.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"1","0.2375566","0.6085973","0.19117647058823528","3.0588235294117645","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","8.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"2","0.2375566","0.6085973","0.19117647058823528","3.0588235294117645","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","8.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"3","0.2375566","0.6085973","0.19117647058823528","3.0588235294117645","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","8.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"4","0.2375566","0.6085973","0.19117647058823528","3.0588235294117645","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","8.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"5","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.07575758","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.01515152","5.0","0","5.0","0","1.0","0","8.0","0.01937984","1.0","0","15.0","0.009803922","3.0","0","4.0","0"
"6","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1190476","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02197802","5.0","0","5.0","0","1.0","0","8.0","0.02801120","1.0","0","15.0","0.01428571","3.0","0","4.0","0"
"7","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1442308","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.025","5.0","0","5.0","0","1.0","0","8.0","0.03177966","1.0","0","15.0","0.01630435","3.0","0","4.0","0"
"8","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1587302","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02614379","5.0","0","5.0","0","1.0","0","8.0","0.03316750","1.0","0","15.0","0.01709402","3.0","0","4.0","0"
"9","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1666667","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02631579","5.0","0","5.0","0","1.0","0","8.0","0.03333333","1.0","0","15.0","0.01724138","3.0","0","4.0","0"
"10","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1704545","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02597403","5.0","0","5.0","0","1.0","0","8.0","0.03285871","1.0","0","15.0","0.01704545","3.0","0","4.0","0"
"11","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1715686","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02536232","5.0","0","5.0","0","1.0","0","8.0","0.03205128","1.0","0","15.0","0.01666667","3.0","0","4.0","0"
"12","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1709402","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02461538","5.0","0","5.0","0","1.0","0","8.0","0.03108003","1.0","0","15.0","0.01619433","3.0","0","4.0","0"
"13","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1691729","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02380952","5.0","0","5.0","0","1.0","0","8.0","0.03004005","1.0","0","15.0","0.01567944","3.0","0","4.0","0"
"14","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1666667","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02298851","5.0","0","5.0","0","1.0","0","8.0","0.02898551","1.0","0","15.0","0.01515152","3.0","0","4.0","0"
"15","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1636905","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02217742","5.0","0","5.0","0","1.0","0","8.0","0.02794715","1.0","0","15.0","0.01462766","3.0","0","4.0","0"
"16","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1604278","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02139037","5.0","0","5.0","0","1.0","0","8.0","0.02694207","1.0","0","15.0","0.01411765","3.0","0","4.0","0"
"17","0.2313131","0.6070707","0.17973856209150327","3.0555555555555554","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1570048","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02063492","5.0","0","5.0","0","1.0","0","8.0","0.02597922","1.0","0","15.0","0.01362683","3.0","0","4.0","0"
