"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","1.0","1.0","1.0","0.0625","0.0625","2.0","9.0","18.0","0.125","0.5625","1.0","2.0","2.0","0.0625","0.125","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","1.0","1.0","0.0625","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","4.0","4.0","0.0625","0.25","8.0","9.0","72.0","0.5","0.5625","0.0","7.0","0.0","0.0","0.4375","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.0625","0.0625","2.0","9.0","18.0","0.125","0.5625","1.0","2.0","2.0","0.0625","0.125","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","1.0","1.0","0.0625","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","4.0","4.0","0.0625","0.25","8.0","9.0","72.0","0.5","0.5625","0.0","7.0","0.0","0.0","0.4375","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.0625","0.0625","2.0","9.0","18.0","0.125","0.5625","1.0","2.0","2.0","0.0625","0.125","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","1.0","1.0","0.0625","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","4.0","4.0","0.0625","0.25","8.0","9.0","72.0","0.5","0.5625","0.0","7.0","0.0","0.0","0.4375","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.0625","0.0625","2.0","9.0","18.0","0.125","0.5625","1.0","2.0","2.0","0.0625","0.125","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","1.0","1.0","0.0625","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","4.0","4.0","0.0625","0.25","8.0","9.0","72.0","0.5","0.5625","0.0","7.0","0.0","0.0","0.4375","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.0625","0.0625","2.0","9.0","18.0","0.125","0.5625","1.0","2.0","2.0","0.0625","0.125","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","1.0","1.0","0.0625","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","4.0","4.0","0.0625","0.25","8.0","9.0","72.0","0.5","0.5625","0.0","7.0","0.0","0.0","0.4375","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","8.0","9.0","72.0","0.47058823529411764","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"7","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","8.0","9.0","72.0","0.47058823529411764","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"8","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","8.0","9.0","72.0","0.47058823529411764","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"9","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","8.0","9.0","72.0","0.47058823529411764","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"10","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","8.0","9.0","72.0","0.47058823529411764","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
