"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2777778","0.5592593","0.17142857142857143","2.4","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","11.0","0","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","13.0","0","0.0","","0.0"
"1","0.2777778","0.5592593","0.17142857142857143","2.4","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","11.0","0","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","13.0","0","0.0","","0.0"
"2","0.2777778","0.5592593","0.17142857142857143","2.4","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","11.0","0","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","13.0","0","0.0","","0.0"
"3","0.2777778","0.5592593","0.17142857142857143","2.4","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","11.0","0","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","13.0","0","0.0","","0.0"
"4","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.08","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01212121","1.0","0","5.0","0"
"5","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1190476","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01666667","1.0","0","5.0","0"
"6","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1382488","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01823708","1.0","0","5.0","0"
"7","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1470588","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01851852","1.0","0","5.0","0"
"8","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1501502","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01821494","1.0","0","5.0","0"
"9","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.15","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01764706","1.0","0","5.0","0"
"10","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1479915","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01696970","1.0","0","5.0","0"
