"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","11.0","33.0","0.17647058823529413","0.6470588235294118","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","11.0","33.0","0.17647058823529413","0.6470588235294118","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","11.0","33.0","0.17647058823529413","0.6470588235294118","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","11.0","33.0","0.17647058823529413","0.6470588235294118","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","0.0","0.0","0.0","0.0"
"5","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","11.0","33.0","0.17647058823529413","0.6470588235294118","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","0.0","0.0","0.0","0.0"
"6","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","6.0","18.0","0.16666666666666666","0.3333333333333333","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","9.0","1.0","9.0","0.5","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","5.0","5.0","0.05555555555555555","0.2777777777777778"
"7","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","6.0","18.0","0.16666666666666666","0.3333333333333333","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","9.0","1.0","9.0","0.5","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","5.0","5.0","0.05555555555555555","0.2777777777777778"
"8","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","6.0","18.0","0.16666666666666666","0.3333333333333333","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","9.0","1.0","9.0","0.5","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","5.0","5.0","0.05555555555555555","0.2777777777777778"
"9","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","6.0","18.0","0.16666666666666666","0.3333333333333333","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","9.0","1.0","9.0","0.5","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","5.0","5.0","0.05555555555555555","0.2777777777777778"
"10","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","6.0","18.0","0.16666666666666666","0.3333333333333333","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","9.0","1.0","9.0","0.5","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","5.0","5.0","0.05555555555555555","0.2777777777777778"
