"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.3865546","0.4890427","0.14327485380116958","2.5789473684210527","3.0","0","1.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","10.0","0","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0","0.0","0","7.0","0"
"1","0.3865546","0.4890427","0.14327485380116958","2.5789473684210527","3.0","0","1.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","10.0","0","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0","0.0","0","7.0","0"
"2","0.3865546","0.4890427","0.14327485380116958","2.5789473684210527","3.0","0","1.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","10.0","0","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0","0.0","0","7.0","0"
"3","0.3865546","0.4890427","0.14327485380116958","2.5789473684210527","3.0","0","1.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","10.0","0","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0","0.0","0","7.0","0"
"4","0.3865546","0.4890427","0.14327485380116958","2.5789473684210527","3.0","0","1.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","10.0","0","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0","0.0","0","7.0","0"
"5","0.3629537","0.4825930","0.15359477124183007","2.611111111111111","3.0","0","1.0","0","1.0","0","2.0","0.04901961","3.0","0","3.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","8.0","0.02873563","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0.008771930","0.0","0","7.0","0"
"6","0.3372549","0.4981227","0.14705882352941177","2.5","3.0","0","1.0","0","1.0","0","2.0","0.07518797","3.0","0","2.0","0.04285714","1.0","0","1.0","0.06593407","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","6.0","0.07142857","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01298701","0.0","0","7.0","0"
"7","0.3372549","0.4981227","0.14705882352941177","2.5","3.0","0","1.0","0","1.0","0","2.0","0.08928571","3.0","0","2.0","0.06818182","1.0","0","1.0","0.1071429","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","6.0","0.09642857","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0.015","0.0","0","7.0","0"
"8","0.3372549","0.4981227","0.14705882352941177","2.5","3.0","0","1.0","0","1.0","0","2.0","0.09661836","3.0","0","2.0","0.08333333","1.0","0","1.0","0.1333333","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","3.0","0","6.0","0.1111111","4.0","0","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01587302","0.0","0","7.0","0"
"9","0.3146375","0.4897401","0.15808823529411764","2.5294117647058822","3.0","0","1.0","0","1.0","0","2.0","0.1","3.0","0","2.0","0.09230769","1.0","0","1.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.04736842","3.0","0","3.0","0","4.0","0.145","3.0","0.02307692","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.02207792","0.0","0","6.0","0.01304348"
