"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3271605","0.5514403","0.17647058823529413","3.0","4.0","0","1.0","0","2.0","0","6.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","10.0","0","8.0","0","1.0","0","15.0","0","0.0","","0.0"
"1","0.3271605","0.5514403","0.17647058823529413","3.0","4.0","0","1.0","0","2.0","0","6.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","10.0","0","8.0","0","1.0","0","15.0","0","0.0","","0.0"
"2","0.3271605","0.5514403","0.17647058823529413","3.0","4.0","0","1.0","0","2.0","0","6.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","10.0","0","8.0","0","1.0","0","15.0","0","0.0","","0.0"
"3","0.3271605","0.5514403","0.17647058823529413","3.0","4.0","0","1.0","0","2.0","0","6.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","10.0","0","8.0","0","1.0","0","15.0","0","0.0","","0.0"
"4","0.3214286","0.5488722","0.16374269005847952","2.9473684210526314","4.0","0","1.0","0","2.0","0","3.0","0.08888889","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.01951220","10.0","0","8.0","0","1.0","0","16.0","0.01052632","2.0","0","3.0","0"
"5","0.3214286","0.5488722","0.16374269005847952","2.9473684210526314","4.0","0","1.0","0","2.0","0","3.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02666667","10.0","0","8.0","0","1.0","0","16.0","0.01449275","2.0","0","3.0","0"
"6","0.3214286","0.5488722","0.16374269005847952","2.9473684210526314","4.0","0","1.0","0","2.0","0","3.0","0.1558442","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02905569","10.0","0","8.0","0","1.0","0","16.0","0.01587302","2.0","0","3.0","0"
"7","0.3214286","0.5488722","0.16374269005847952","2.9473684210526314","4.0","0","1.0","0","2.0","0","3.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02941176","10.0","0","8.0","0","1.0","0","16.0","0.01612903","2.0","0","3.0","0"
"8","0.3214286","0.5488722","0.16374269005847952","2.9473684210526314","4.0","0","1.0","0","2.0","0","3.0","0.1709402","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02886003","10.0","0","8.0","0","1.0","0","16.0","0.01587302","2.0","0","3.0","0"
"9","0.3214286","0.5488722","0.16374269005847952","2.9473684210526314","4.0","0","1.0","0","2.0","0","3.0","0.1714286","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02790698","10.0","0","8.0","0","1.0","0","16.0","0.01538462","2.0","0","3.0","0"
