"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"1","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","6.0","4.0","24.0","0.2857142857142857","0.19047619047619047","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","19.0","0.0","0.0","0.9047619047619048","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","6.0","1.0","6.0","0.2608695652173913","0.043478260869565216","2.0","6.0","12.0","0.08695652173913043","0.2608695652173913","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","6.0","4.0","24.0","0.2608695652173913","0.17391304347826086","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","21.0","0.0","0.0","0.9130434782608695","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
