"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","RD24-ADS","RD24-AIS","RD24-ACS","RD24-RCS","RD24-RIS","RD25-ADS","RD25-AIS","RD25-ACS","RD25-RCS","RD25-RIS","RD26-ADS","RD26-AIS","RD26-ACS","RD26-RCS","RD26-RIS","RD27-ADS","RD27-AIS","RD27-ACS","RD27-RCS","RD27-RIS","RD28-ADS","RD28-AIS","RD28-ACS","RD28-RCS","RD28-RIS","RD29-ADS","RD29-AIS","RD29-ACS","RD29-RCS","RD29-RIS","RD30-ADS","RD30-AIS","RD30-ACS","RD30-RCS","RD30-RIS","RD31-ADS","RD31-AIS","RD31-ACS","RD31-RCS","RD31-RIS","RD32-ADS","RD32-AIS","RD32-ACS","RD32-RCS","RD32-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","3.0","3.0","9.0","0.07894736842105263","0.07894736842105263","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","2.0","15.0","30.0","0.05263157894736842","0.39473684210526316","5.0","3.0","15.0","0.13157894736842105","0.07894736842105263","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","2.0","3.0","6.0","0.05263157894736842","0.07894736842105263","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","2.0","3.0","6.0","0.05263157894736842","0.07894736842105263","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","4.0","3.0","12.0","0.10526315789473684","0.07894736842105263","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","5.0","1.0","5.0","0.13157894736842105","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","8.0","1.0","8.0","0.21052631578947367","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","3.0","3.0","9.0","0.07894736842105263","0.07894736842105263","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","4.0","2.0","8.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","8.0","2.0","16.0","0.21052631578947367","0.05263157894736842","2.0","1.0","2.0","0.05263157894736842","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","2.0","1.0","2.0","0.05263157894736842","0.02631578947368421","2.0","0.0","0.0","0.05263157894736842","0.0","1.0","13.0","13.0","0.02631578947368421","0.34210526315789475","33.0","22.0","726.0","0.868421052631579","0.5789473684210527","1.0","15.0","15.0","0.02631578947368421","0.39473684210526316","1.0","35.0","35.0","0.02631578947368421","0.9210526315789473","0.0","0.0","0.0","0.0","0.0"
"2","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","3.0","3.0","9.0","0.07894736842105263","0.07894736842105263","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","2.0","15.0","30.0","0.05263157894736842","0.39473684210526316","5.0","3.0","15.0","0.13157894736842105","0.07894736842105263","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","2.0","3.0","6.0","0.05263157894736842","0.07894736842105263","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","2.0","3.0","6.0","0.05263157894736842","0.07894736842105263","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","4.0","3.0","12.0","0.10526315789473684","0.07894736842105263","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","5.0","1.0","5.0","0.13157894736842105","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","8.0","1.0","8.0","0.21052631578947367","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","3.0","3.0","9.0","0.07894736842105263","0.07894736842105263","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","4.0","2.0","8.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","8.0","2.0","16.0","0.21052631578947367","0.05263157894736842","2.0","1.0","2.0","0.05263157894736842","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","2.0","1.0","2.0","0.05263157894736842","0.02631578947368421","2.0","0.0","0.0","0.05263157894736842","0.0","1.0","13.0","13.0","0.02631578947368421","0.34210526315789475","33.0","22.0","726.0","0.868421052631579","0.5789473684210527","1.0","15.0","15.0","0.02631578947368421","0.39473684210526316","1.0","35.0","35.0","0.02631578947368421","0.9210526315789473","0.0","0.0","0.0","0.0","0.0"
"3","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","3.0","3.0","9.0","0.07894736842105263","0.07894736842105263","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","2.0","15.0","30.0","0.05263157894736842","0.39473684210526316","5.0","3.0","15.0","0.13157894736842105","0.07894736842105263","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","2.0","3.0","6.0","0.05263157894736842","0.07894736842105263","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","2.0","3.0","6.0","0.05263157894736842","0.07894736842105263","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","4.0","3.0","12.0","0.10526315789473684","0.07894736842105263","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","5.0","1.0","5.0","0.13157894736842105","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","2.0","2.0","4.0","0.05263157894736842","0.05263157894736842","8.0","1.0","8.0","0.21052631578947367","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","3.0","3.0","9.0","0.07894736842105263","0.07894736842105263","4.0","1.0","4.0","0.10526315789473684","0.02631578947368421","4.0","2.0","8.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","8.0","2.0","16.0","0.21052631578947367","0.05263157894736842","2.0","1.0","2.0","0.05263157894736842","0.02631578947368421","3.0","2.0","6.0","0.07894736842105263","0.05263157894736842","7.0","2.0","14.0","0.18421052631578946","0.05263157894736842","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","3.0","1.0","3.0","0.07894736842105263","0.02631578947368421","2.0","1.0","2.0","0.05263157894736842","0.02631578947368421","2.0","0.0","0.0","0.05263157894736842","0.0","1.0","13.0","13.0","0.02631578947368421","0.34210526315789475","33.0","22.0","726.0","0.868421052631579","0.5789473684210527","1.0","15.0","15.0","0.02631578947368421","0.39473684210526316","1.0","35.0","35.0","0.02631578947368421","0.9210526315789473","0.0","0.0","0.0","0.0","0.0"
"4","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
"5","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
"6","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
"7","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
"8","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
"9","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
"10","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","2.0","8.0","16.0","0.05128205128205128","0.20512820512820512","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","2.0","2.0","4.0","0.05128205128205128","0.05128205128205128","8.0","1.0","8.0","0.20512820512820512","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","8.0","2.0","16.0","0.20512820512820512","0.05128205128205128","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","2.0","14.0","0.1794871794871795","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","1.0","14.0","14.0","0.02564102564102564","0.358974358974359","33.0","22.0","726.0","0.8461538461538461","0.5641025641025641","1.0","16.0","16.0","0.02564102564102564","0.41025641025641024","1.0","35.0","35.0","0.02564102564102564","0.8974358974358975","2.0","7.0","14.0","0.05128205128205128","0.1794871794871795"
