"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"1","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"2","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"3","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"4","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"5","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"6","0.3968254","0.3968254","0.19444444444444445","1.5555555555555556","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0"
"7","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.125","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.02243590"
"8","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.2222222","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.03617571"
"9","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.3","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.04468085"
"10","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.3636364","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.04991087"
"11","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.4166667","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05303030"
"12","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.4615385","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05475880"
"13","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.5","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05555556"
"14","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.5333333","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05572139"
"15","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.5625","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05545775"
"16","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.5882353","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05490196"
"17","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.6111111","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05414909"
"18","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.6315789","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05326569"
"19","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.65","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05229885"
"20","0.4786325","0.3589744","0.18055555555555555","1.4444444444444444","0.0","0.6666667","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","4.0","0.05128205"
