"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.25","0.4768519","0.2727272727272727","3.0","4.0","0","2.0","0","4.0","0","6.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.25","0.4768519","0.2727272727272727","3.0","4.0","0","2.0","0","4.0","0","6.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.25","0.4768519","0.2727272727272727","3.0","4.0","0","2.0","0","4.0","0","6.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.25","0.4768519","0.2727272727272727","3.0","4.0","0","2.0","0","4.0","0","6.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.25","0.4768519","0.2727272727272727","3.0","4.0","0","2.0","0","4.0","0","6.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"5","0.25","0.4768519","0.2727272727272727","3.0","4.0","0","2.0","0","4.0","0","6.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"6","0.2744283","0.4656965","0.23717948717948717","2.8461538461538463","4.0","0","2.0","0","4.0","0","3.0","0.06593407","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","7.0","0.01993355","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"7","0.2744283","0.4656965","0.23717948717948717","2.8461538461538463","4.0","0","2.0","0","4.0","0","3.0","0.1071429","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","7.0","0.03","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"8","0.2744283","0.4656965","0.23717948717948717","2.8461538461538463","4.0","0","2.0","0","4.0","0","3.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","7.0","0.03508772","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"9","0.2744283","0.4656965","0.23717948717948717","2.8461538461538463","4.0","0","2.0","0","4.0","0","3.0","0.15","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","7.0","0.0375","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
