"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2642998","0.5049310","0.25","3.0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"1","0.2642998","0.5049310","0.25","3.0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"2","0.2642998","0.5049310","0.25","3.0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"3","0.2642998","0.5049310","0.25","3.0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"4","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.075","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03809524","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01568627","2.0","0","3.0","0"
"5","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1111111","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05128205","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02150538","2.0","0","3.0","0"
"6","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1285714","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05529954","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02348337","2.0","0","3.0","0"
"7","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1363636","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05555556","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02380952","2.0","0","3.0","0"
"8","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1388889","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05420054","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02339181","2.0","0","3.0","0"
"9","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1384615","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05217391","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02264151","2.0","0","3.0","0"
"10","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1363636","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04991087","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02175602","2.0","0","3.0","0"
"11","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1333333","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04761905","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.02083333","2.0","0","3.0","0"
"12","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1298077","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04539723","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01992252","2.0","0","3.0","0"
"13","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1260504","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04329004","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01904762","2.0","0","3.0","0"
"14","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1222222","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04131455","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01821946","2.0","0","3.0","0"
"15","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1184211","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03947368","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01744186","2.0","0","3.0","0"
"16","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1147059","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03776325","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01671488","2.0","0","3.0","0"
"17","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1111111","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03617571","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01603666","2.0","0","3.0","0"
"18","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1076555","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03470214","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01540436","2.0","0","3.0","0"
"19","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1043478","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03333333","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01481481","2.0","0","3.0","0"
"20","0.2665505","0.4930314","0.22527472527472528","2.9285714285714284","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1011905","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03206035","5.0","0","6.0","0","1.0","0","5.0","0","1.0","0","11.0","0.01426474","2.0","0","3.0","0"
