"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2570533","0.4388715","0.2636363636363636","2.6363636363636362","4.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2570533","0.4388715","0.2636363636363636","2.6363636363636362","4.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2570533","0.4388715","0.2636363636363636","2.6363636363636362","4.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2570533","0.4388715","0.2636363636363636","2.6363636363636362","4.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2570533","0.4388715","0.2636363636363636","2.6363636363636362","4.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.07575758","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03333333","3.0","0","4.0","0","1.0","0","5.0","0.03333333","1.0","0","8.0","0","2.0","0","2.0","0"
"6","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1190476","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04761905","3.0","0","4.0","0","1.0","0","5.0","0.04761905","1.0","0","8.0","0","2.0","0","2.0","0"
"7","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1442308","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05357143","3.0","0","4.0","0","1.0","0","5.0","0.05357143","1.0","0","8.0","0","2.0","0","2.0","0"
"8","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1587302","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05555556","3.0","0","4.0","0","1.0","0","5.0","0.05555556","1.0","0","8.0","0","2.0","0","2.0","0"
"9","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05555556","3.0","0","4.0","0","1.0","0","5.0","0.05555556","1.0","0","8.0","0","2.0","0","2.0","0"
"10","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1704545","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05454545","3.0","0","4.0","0","1.0","0","5.0","0.05454545","1.0","0","8.0","0","2.0","0","2.0","0"
"11","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1715686","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05303030","3.0","0","4.0","0","1.0","0","5.0","0.05303030","1.0","0","8.0","0","2.0","0","2.0","0"
"12","0.2553763","0.4596774","0.23484848484848486","2.5833333333333335","4.0","0","2.0","0.1709402","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05128205","3.0","0","4.0","0","1.0","0","5.0","0.05128205","1.0","0","8.0","0","2.0","0","2.0","0"
