"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS"
"0","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"1","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"2","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"3","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"4","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"5","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"6","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"7","0.2","0.6666667","0.08888888888888889","0.8","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","8.0","0"
"8","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.1269841","3.0","0.02539683","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.01251956"
"9","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.1846154","3.0","0.04210526","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02051282"
"10","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2111437","3.0","0.05321508","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02566845"
"11","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2222222","3.0","0.06060606","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02898551"
"12","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2251407","3.0","0.06546645","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03108003"
"13","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2236025","3.0","0.06857143","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03234501"
"14","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2196078","3.0","0.07044025","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03303835"
"15","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2142857","3.0","0.07142857","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03333333"
"16","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2082932","3.0","0.07178465","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03334877"
"17","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.2020202","3.0","0.07168459","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03316750"
"18","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.1957005","3.0","0.07125506","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03284808"
"19","0.3636364","0.68","0.1527777777777778","1.2222222222222223","5.0","0.1894737","3.0","0.07058824","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03243243"
"20","0.2857143","0.6285714","0.35","1.4","1.0","0.2127396","3.0","0.06975184","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05137845"
