"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.1","0.7","0.2","1.8","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"1","0.1","0.7","0.2","1.8","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"2","0.1","0.7","0.2","1.8","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"3","0.1","0.7","0.2","1.8","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"4","0.1","0.7","0.2","1.8","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","4.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"5","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.07575758","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.01515152","1.0","0","2.0","0"
"6","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1190476","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02197802","1.0","0","2.0","0"
"7","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1442308","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.025","1.0","0","2.0","0"
"8","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1587302","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02614379","1.0","0","2.0","0"
"9","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1666667","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02631579","1.0","0","2.0","0"
"10","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1704545","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02597403","1.0","0","2.0","0"
"11","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1715686","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02536232","1.0","0","2.0","0"
"12","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1709402","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02461538","1.0","0","2.0","0"
"13","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1691729","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02380952","1.0","0","2.0","0"
"14","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1666667","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02298851","1.0","0","2.0","0"
"15","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1636905","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02217742","1.0","0","2.0","0"
"16","0.1339713","0.6698565","0.17272727272727273","1.7272727272727273","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0.1604278","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","10.0","0.02139037","1.0","0","2.0","0"
