"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3958333","0.4583333","0.24242424242424243","2.6666666666666665","2.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","2.0","0","1.0","0","9.0","0"
"1","0.3958333","0.4583333","0.24242424242424243","2.6666666666666665","2.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","2.0","0","1.0","0","9.0","0"
"2","0.3958333","0.4583333","0.24242424242424243","2.6666666666666665","2.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","2.0","0","1.0","0","9.0","0"
"3","0.3958333","0.4583333","0.24242424242424243","2.6666666666666665","2.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","2.0","0","1.0","0","9.0","0"
"4","0.3958333","0.4583333","0.24242424242424243","2.6666666666666665","2.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","2.0","0","1.0","0","9.0","0"
"5","0.3958333","0.4583333","0.24242424242424243","2.6666666666666665","2.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","2.0","0","1.0","0","9.0","0"
"6","0.4220430","0.4865591","0.23484848484848486","2.5833333333333335","1.0","0.06593407","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","1.0","0.06593407","1.0","0","9.0","0"
"7","0.4220430","0.4865591","0.23484848484848486","2.5833333333333335","1.0","0.1071429","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","1.0","0.1071429","1.0","0","9.0","0"
"8","0.4220430","0.4865591","0.23484848484848486","2.5833333333333335","1.0","0.1333333","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","1.0","0.1333333","1.0","0","9.0","0"
"9","0.4220430","0.4865591","0.23484848484848486","2.5833333333333335","1.0","0.15","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","0.0","0","7.0","0","3.0","0","1.0","0.15","1.0","0","9.0","0"
