"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3585859","0.6244019","0.13043478260869565","3.0","10.0","0","8.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","21.0","0","1.0","0","22.0","0"
"1","0.3585859","0.6244019","0.13043478260869565","3.0","10.0","0","8.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","21.0","0","1.0","0","22.0","0"
"2","0.3585859","0.6244019","0.13043478260869565","3.0","10.0","0","8.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","21.0","0","1.0","0","22.0","0"
"3","0.3441558","0.6224747","0.1383399209486166","3.0434782608695654","8.0","0.03947368","7.0","0.02419355","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","20.0","0.009036145","1.0","0","21.0","0.008620690"
"4","0.3441558","0.6224747","0.1383399209486166","3.0434782608695654","8.0","0.05217391","7.0","0.03157895","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","20.0","0.01165049","1.0","0","21.0","0.01111111"
"5","0.3366271","0.6212121","0.14935064935064934","3.1363636363636362","7.0","0.07232704","7.0","0.03333333","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0.07575758","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","19.0","0.01912568","1.0","0","20.0","0.01822917"
"6","0.3366271","0.6212121","0.14935064935064934","3.1363636363636362","7.0","0.08095238","7.0","0.03296703","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1190476","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","19.0","0.02228977","1.0","0","20.0","0.02123552"
"7","0.3222524","0.6316147","0.14502164502164502","3.0454545454545454","5.0","0.1134615","7.0","0.03177966","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1442308","2.0","0","1.0","0.05833333","2.0","0","2.0","0","2.0","0","1.0","0.05833333","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","19.0","0.0234375","1.0","0","20.0","0.02232143"
"8","0.3222524","0.6316147","0.14502164502164502","3.0454545454545454","5.0","0.1333333","7.0","0.03030303","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1587302","2.0","0","1.0","0.09722222","2.0","0","2.0","0","2.0","0","1.0","0.09722222","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","19.0","0.02358783","1.0","0","20.0","0.02245863"
"9","0.3222524","0.6316147","0.14502164502164502","3.0454545454545454","5.0","0.1453333","7.0","0.02876712","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1235294","2.0","0","2.0","0","2.0","0","1.0","0.1235294","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","0.0","0","19.0","0.02323232","1.0","0","20.0","0.02211538"
