"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.1636364","0.7519481","0.15151515151515152","3.1818181818181817","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","8.0","0","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"1","0.1636364","0.7519481","0.15151515151515152","3.1818181818181817","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","8.0","0","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"2","0.1636364","0.7519481","0.15151515151515152","3.1818181818181817","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","8.0","0","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"3","0.1636364","0.7519481","0.15151515151515152","3.1818181818181817","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","8.0","0","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"4","0.1636364","0.7519481","0.15151515151515152","3.1818181818181817","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","8.0","0","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"5","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.07575758","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.006887052","1.0","0","10.0","0.01515152","1.0","0","21.0","0.006887052","3.0","0","4.0","0"
"6","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1190476","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01006036","1.0","0","10.0","0.02197802","1.0","0","21.0","0.01006036","3.0","0","4.0","0"
"7","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1442308","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01150307","1.0","0","10.0","0.025","1.0","0","21.0","0.01150307","3.0","0","4.0","0"
"8","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1587302","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01207729","1.0","0","10.0","0.02614379","1.0","0","21.0","0.01207729","3.0","0","4.0","0"
"9","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1666667","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01219512","1.0","0","10.0","0.02631579","1.0","0","21.0","0.01219512","3.0","0","4.0","0"
