"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2663707","0.5726970","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","7.0","0","5.0","0","7.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"1","0.2663707","0.5726970","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","7.0","0","5.0","0","7.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"2","0.2663707","0.5726970","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","7.0","0","5.0","0","7.0","0","1.0","0","7.0","0","1.0","0","14.0","0","0.0","","0.0"
"3","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.02586207","5.0","0","7.0","0","1.0","0","8.0","0.02586207","1.0","0","14.0","0","2.0","0","4.0","0"
"4","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.03243243","5.0","0","7.0","0","1.0","0","8.0","0.03243243","1.0","0","14.0","0","2.0","0","4.0","0"
"5","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.03333333","5.0","0","7.0","0","1.0","0","8.0","0.03333333","1.0","0","14.0","0","2.0","0","4.0","0"
"6","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.03234501","5.0","0","7.0","0","1.0","0","8.0","0.03234501","1.0","0","14.0","0","2.0","0","4.0","0"
"7","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.03073770","5.0","0","7.0","0","1.0","0","8.0","0.03073770","1.0","0","14.0","0","2.0","0","4.0","0"
"8","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.02898551","5.0","0","7.0","0","1.0","0","8.0","0.02898551","1.0","0","14.0","0","2.0","0","4.0","0"
"9","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.02727273","5.0","0","7.0","0","1.0","0","8.0","0.02727273","1.0","0","14.0","0","2.0","0","4.0","0"
"10","0.2676768","0.5686869","0.17973856209150327","3.0555555555555554","4.0","0","0.0","0","2.0","0","4.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","8.0","0.02566845","5.0","0","7.0","0","1.0","0","8.0","0.02566845","1.0","0","14.0","0","2.0","0","4.0","0"
