"release","SIY","SCF","ADCS"
"0","","0.11988304093567251","2.1578947368421053"
"1","","0.11988304093567251","2.1578947368421053"
"2","","0.11988304093567251","2.1578947368421053"
"3","","0.11988304093567251","2.1578947368421053"
"4","","0.11578947368421053","2.2"
"5","","0.11578947368421053","2.2"
"6","","0.11190476190476191","2.238095238095238"
"7","","0.10822510822510822","2.272727272727273"
"8","","0.10822510822510822","2.272727272727273"
"9","","0.10276679841897234","2.260869565217391"
"10","","0.09782608695652174","2.25"
"11","","0.095","2.28"
"12","","0.095","2.28"
"13","","0.095","2.28"
"14","","0.08831908831908832","2.2962962962962963"
"15","","0.08597883597883597","2.3214285714285716"
"16","","0.08374384236453201","2.3448275862068964"
"17","","0.08374384236453201","2.3448275862068964"
"18","","0.08374384236453201","2.3448275862068964"
"19","","0.08160919540229886","2.3666666666666667"
"20","","0.07481060606060606","2.393939393939394"
