"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","BA24-ADS","BA24-GINI -ADS","BA24-AIS","BA24-GINI -AIS","BA25-ADS","BA25-GINI -ADS","BA25-AIS","BA25-GINI -AIS","BA26-ADS","BA26-GINI -ADS","BA26-AIS","BA26-GINI -AIS","BA27-ADS","BA27-GINI -ADS","BA27-AIS","BA27-GINI -AIS","BA28-ADS","BA28-GINI -ADS","BA28-AIS","BA28-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2741935","0.6911046","0.11742424242424243","3.757575757575758","4.0","0","1.0","0","2.0","0","26.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","10.0","0","8.0","0","20.0","0","1.0","0","13.0","0","1.0","0","30.0","0","0.0","","0.0"
"1","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.1666667","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.02380952","8.0","0","20.0","0","1.0","0","14.0","0.01851852","1.0","0","31.0","0.008196721","3.0","0","13.0","0"
"2","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.1666667","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.02083333","8.0","0","20.0","0","1.0","0","14.0","0.01626016","1.0","0","31.0","0.007246377","3.0","0","13.0","0"
"3","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.15","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.01744186","8.0","0","20.0","0","1.0","0","14.0","0.01363636","1.0","0","31.0","0.006097561","3.0","0","13.0","0"
"4","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.1333333","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.01481481","8.0","0","20.0","0","1.0","0","14.0","0.01159420","1.0","0","31.0","0.005194805","3.0","0","13.0","0"
"5","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.1190476","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.01282051","8.0","0","20.0","0","1.0","0","14.0","0.01004016","1.0","0","31.0","0.004504505","3.0","0","13.0","0"
"6","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.1071429","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.01127820","8.0","0","20.0","0","1.0","0","14.0","0.008836524","1.0","0","31.0","0.003968254","3.0","0","13.0","0"
"7","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.09722222","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.01005747","8.0","0","20.0","0","1.0","0","14.0","0.007882883","1.0","0","31.0","0.003542510","3.0","0","13.0","0"
"8","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.08888889","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.009070295","8.0","0","20.0","0","1.0","0","14.0","0.007111111","1.0","0","31.0","0.003197442","3.0","0","13.0","0"
"9","0.2693377","0.6723020","0.11319073083778966","3.735294117647059","4.0","0","1.0","0","2.0","0","13.0","0.08181818","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","20.0","0","0.0","0","1.0","0","11.0","0.008256881","8.0","0","20.0","0","1.0","0","14.0","0.006474820","1.0","0","31.0","0.002912621","3.0","0","13.0","0"
