"APPLICATION","TIPO","TAMANHO","VERTICES INÍCIO","ARCHITECTURE ISSUE","EVOLUÇÃO","GINI-ADS-V0","GINI-ADS-V1","GINI-ADS-V2","GINI-ADS-V3","GINI-ADS-V4","GINI-ADS-V5","GINI-ADS-V6","GINI-ADS-V7","GINI-ADS-V8","GINI-ADS-V9","GINI-ADS-V10","GINI-ADS-V11","GINI-ADS-V12","GINI-ADS-V13","GINI-ADS-V14","GINI-ADS-V15","GINI-ADS-V16","GINI-ADS-V17","GINI-ADS-V18","GINI-ADS-V19","GINI-ADS-V20","GINI-AIS-V0","GINI-AIS-V1","GINI-AIS-V2","GINI-AIS-V3","GINI-AIS-V4","GINI-AIS-V5","GINI-AIS-V6","GINI-AIS-V7","GINI-AIS-V8","GINI-AIS-V9","GINI-AIS-V10","GINI-AIS-V11","GINI-AIS-V12","GINI-AIS-V13","GINI-AIS-V14","GINI-AIS-V15","GINI-AIS-V16","GINI-AIS-V17","GINI-AIS-V18","GINI-AIS-V19","GINI-AIS-V20","SCF-V0","SCF-V1","SCF-V2","SCF-V3","SCF-V4","SCF-V5","SCF-V6","SCF-V7","SCF-V8","SCF-V9","SCF-V10","SCF-V11","SCF-V12","SCF-V13","SCF-V14","SCF-V15","SCF-V16","SCF-V17","SCF-V18","SCF-V19","SCF-V20","ADCS-V0","ADCS-V1","ADCS-V2","ADCS-V3","ADCS-V4","ADCS-V5","ADCS-V6","ADCS-V7","ADCS-V8","ADCS-V9","ADCS-V10","ADCS-V11","ADCS-V12","ADCS-V13","ADCS-V14","ADCS-V15","ADCS-V16","ADCS-V17","ADCS-V18","ADCS-V19","ADCS-V20"
"application-0001","RANDOM_GRAPH","SMALL","9","CONCENTRATE_INCOMING_EDGES","IMPROVE","0.2606178","0.2606178","0.2606178","0.2606178","0.2606178","0.2807018","0.2807018","0.2850610","0.2850610","0.2850610","0.2849673","0.2845805","0.2845805","0.2874494","0.2874494","0.2892857","0.2892857","0.2892857","0.2892857","0.2905569","0.3016304","0.5733591","0.5733591","0.5733591","0.5733591","0.5733591","0.5578947","0.5578947","0.5655488","0.5655488","0.5655488","0.5673203","0.5680272","0.5680272","0.5769231","0.5769231","0.5785714","0.5785714","0.5785714","0.5785714","0.5859564","0.5923913","0.2032967032967033","0.2032967032967033","0.2032967032967033","0.2032967032967033","0.2032967032967033","0.18095238095238095","0.18095238095238095","0.17083333333333334","0.17083333333333334","0.17083333333333334","0.16544117647058823","0.16013071895424835","0.16013071895424835","0.15204678362573099","0.15204678362573099","0.14736842105263157","0.14736842105263157","0.14736842105263157","0.14736842105263157","0.14047619047619048","0.12648221343873517","2.642857142857143","2.642857142857143","2.642857142857143","2.642857142857143","2.642857142857143","2.533333333333333","2.533333333333333","2.5625","2.5625","2.5625","2.6470588235294117","2.7222222222222223","2.7222222222222223","2.736842105263158","2.736842105263158","2.8","2.8","2.8","2.8","2.8095238095238093","2.782608695652174"
"application-0002","RANDOM_GRAPH","SMALL","5","CONCENTRATE_OUTGOING_EDGES","IMPROVE","0.2692308","0.2692308","0.2692308","0.2692308","0.284","0.284","0.284","0.284","0.2857143","0.2857143","0.2857143","0.2857143","0.2930108","0.2930108","0.2930108","0.3030303","0.3134921","0.3134921","0.3134921","0.3166667","0.3241279","0.5076923","0.5076923","0.5076923","0.5076923","0.516","0.516","0.516","0.516","0.5129870","0.5129870","0.5129870","0.5129870","0.5134409","0.5134409","0.5134409","0.5221445","0.5198413","0.5198413","0.5198413","0.5366667","0.5334302","0.28888888888888886","0.28888888888888886","0.28888888888888886","0.28888888888888886","0.2777777777777778","0.2777777777777778","0.2777777777777778","0.2777777777777778","0.2545454545454545","0.2545454545454545","0.2545454545454545","0.2545454545454545","0.23484848484848486","0.23484848484848486","0.23484848484848486","0.21153846153846154","0.1978021978021978","0.1978021978021978","0.1978021978021978","0.19047619047619047","0.17916666666666667","2.6","2.6","2.6","2.6","2.5","2.5","2.5","2.5","2.5454545454545454","2.5454545454545454","2.5454545454545454","2.5454545454545454","2.5833333333333335","2.5833333333333335","2.5833333333333335","2.5384615384615383","2.5714285714285716","2.5714285714285716","2.5714285714285716","2.6666666666666665","2.6875"
"application-0003","RANDOM_GRAPH","SMALL","8","CONCENTRATE_INCOMING_EDGES","IMPROVE","0.2727273","0.2727273","0.2727273","0.2727273","0.2727273","0.2727273","0.2727273","0.2517647","0.2517647","0.2651992","0.2651992","0.2832536","0.2832536","0.2832536","0.2832536","0.3063492","0.3063492","0.3063492","0.2911932","0.2911932","0.2928404","0.5212121","0.5212121","0.5212121","0.5212121","0.5212121","0.5212121","0.5212121","0.5388235","0.5388235","0.5356394","0.5356394","0.5397129","0.5397129","0.5397129","0.5397129","0.5396825","0.5396825","0.5396825","0.5525568","0.5525568","0.5604460","0.20952380952380953","0.20952380952380953","0.20952380952380953","0.20952380952380953","0.20952380952380953","0.20952380952380953","0.20952380952380953","0.18382352941176472","0.18382352941176472","0.17320261437908496","0.17320261437908496","0.1608187134502924","0.1608187134502924","0.1608187134502924","0.1608187134502924","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.13852813852813853","0.13852813852813853","0.1286231884057971","2.933333333333333","2.933333333333333","2.933333333333333","2.933333333333333","2.933333333333333","2.933333333333333","2.933333333333333","2.9411764705882355","2.9411764705882355","2.9444444444444446","2.9444444444444446","2.8947368421052633","2.8947368421052633","2.8947368421052633","2.8947368421052633","2.857142857142857","2.857142857142857","2.857142857142857","2.909090909090909","2.909090909090909","2.9583333333333335"
"application-0004","RANDOM_GRAPH","SMALL","7","CONCENTRATE_OUTGOING_EDGES","IMPROVE","0.3333333","0.3333333","0.3333333","0.3333333","0.3333333","0.3076923","0.3076923","0.3076923","0.3076923","0.3076923","0.3076923","0.3076923","0.3148148","0.3148148","0.3148148","0.3","0.3","0.2840909","0.2840909","0.2840909","0.25","0.5333333","0.5333333","0.5333333","0.5333333","0.5333333","0.5299145","0.5299145","0.5299145","0.5299145","0.5299145","0.5299145","0.5299145","0.5370370","0.5370370","0.5370370","0.5428571","0.5428571","0.5909091","0.5909091","0.5909091","0.6008772","0.15555555555555556","0.15555555555555556","0.15555555555555556","0.15555555555555556","0.15555555555555556","0.18055555555555555","0.18055555555555555","0.18055555555555555","0.18055555555555555","0.18055555555555555","0.18055555555555555","0.18055555555555555","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.15555555555555556","0.15555555555555556","0.14545454545454545","0.14545454545454545","0.14545454545454545","0.14393939393939395","1.4","1.4","1.4","1.4","1.4","1.4444444444444444","1.4444444444444444","1.4444444444444444","1.4444444444444444","1.4444444444444444","1.4444444444444444","1.4444444444444444","1.3333333333333333","1.3333333333333333","1.3333333333333333","1.4","1.4","1.4545454545454546","1.4545454545454546","1.4545454545454546","1.5833333333333333"
"application-0005","RANDOM_GRAPH","SMALL","9","CONCENTRATE_INCOMING_EDGES","IMPROVE","0.4241071","0.4241071","0.4241071","0.4241071","0.4241071","0.4241071","0.4117647","0.4117647","0.3993056","0.3993056","0.3993056","0.3993056","0.3993056","0.3710407","0.3710407","0.3578811","0.3578811","0.3578811","0.3578811","0.3546911","0.35","0.4508929","0.4508929","0.4508929","0.4508929","0.4508929","0.4508929","0.4509804","0.4509804","0.4548611","0.4548611","0.4548611","0.4548611","0.4548611","0.4705882","0.4705882","0.4793282","0.4793282","0.4793282","0.4793282","0.4942792","0.4908163","0.17582417582417584","0.17582417582417584","0.17582417582417584","0.17582417582417584","0.17582417582417584","0.17582417582417584","0.1619047619047619","0.1619047619047619","0.15","0.15","0.15","0.15","0.15","0.14338235294117646","0.14338235294117646","0.14052287581699346","0.14052287581699346","0.14052287581699346","0.14052287581699346","0.13450292397660818","0.12894736842105264","2.2857142857142856","2.2857142857142856","2.2857142857142856","2.2857142857142856","2.2857142857142856","2.2857142857142856","2.2666666666666666","2.2666666666666666","2.25","2.25","2.25","2.25","2.25","2.2941176470588234","2.2941176470588234","2.388888888888889","2.388888888888889","2.388888888888889","2.388888888888889","2.4210526315789473","2.45"
"application-0006","RANDOM_GRAPH","SMALL","9","CONCENTRATE_OUTGOING_EDGES","IMPROVE","0.3469388","0.3469388","0.3469388","0.3469388","0.3469388","0.3469388","0.3469388","0.3469388","0.3469388","0.3469388","0.3536585","0.3536585","0.3536585","0.3536585","0.3507246","0.3507246","0.3507246","0.3507246","0.3475","0.3475","0.3267974","0.4591837","0.4591837","0.4591837","0.4591837","0.4591837","0.4591837","0.4591837","0.4591837","0.4591837","0.4591837","0.4512195","0.4512195","0.4512195","0.4512195","0.4492754","0.4492754","0.4492754","0.4492754","0.4675","0.4675","0.4923747","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.21904761904761905","0.21904761904761905","0.21904761904761905","0.21904761904761905","0.20833333333333334","0.20833333333333334","0.19852941176470587","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.9285714285714284","3.066666666666667","3.066666666666667","3.066666666666667","3.066666666666667","3.125","3.125","3.176470588235294"
"application-0007","RANDOM_GRAPH","SMALL","9","CONCENTRATE_INCOMING_EDGES","IMPROVE","0.3487654","0.3487654","0.3487654","0.3487654","0.3487654","0.3342175","0.3342175","0.3342175","0.3342175","0.3342175","0.3258929","0.3258929","0.3372549","0.3372549","0.3372549","0.3372549","0.3429054","0.3429054","0.3472023","0.3472023","0.3510101","0.5339506","0.5339506","0.5339506","0.5339506","0.5339506","0.5305040","0.5305040","0.5305040","0.5305040","0.5305040","0.5446429","0.5446429","0.5490196","0.5490196","0.5490196","0.5490196","0.5152027","0.5152027","0.5308465","0.5308465","0.5277778","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.1858974358974359","0.1858974358974359","0.1858974358974359","0.1858974358974359","0.1858974358974359","0.17582417582417584","0.17582417582417584","0.1619047619047619","0.1619047619047619","0.1619047619047619","0.1619047619047619","0.15416666666666667","0.15416666666666667","0.15073529411764705","0.15073529411764705","0.1437908496732026","2.25","2.25","2.25","2.25","2.25","2.230769230769231","2.230769230769231","2.230769230769231","2.230769230769231","2.230769230769231","2.2857142857142856","2.2857142857142856","2.2666666666666666","2.2666666666666666","2.2666666666666666","2.2666666666666666","2.3125","2.3125","2.411764705882353","2.411764705882353","2.4444444444444446"
"application-0008","RANDOM_GRAPH","SMALL","5","CONCENTRATE_OUTGOING_EDGES","IMPROVE","0.3518519","0.3518519","0.3518519","0.3518519","0.3518519","0.3518519","0.3095238","0.3095238","0.3095238","0.3095238","0.3095238","0.3095238","0.2916667","0.2916667","0.2916667","0.2916667","0.2916667","0.2916667","0.2916667","0.2916667","0.2857143","0.375","0.375","0.375","0.375","0.375","0.375","0.3095238","0.3095238","0.3095238","0.3095238","0.3095238","0.3095238","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.3492063","0.16071428571428573","0.16071428571428573","0.16071428571428573","0.16071428571428573","0.16071428571428573","0.16071428571428573","0.23333333333333334","0.23333333333333334","0.23333333333333334","0.23333333333333334","0.23333333333333334","0.23333333333333334","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.21428571428571427","1.125","1.125","1.125","1.125","1.125","1.125","1.1666666666666667","1.1666666666666667","1.1666666666666667","1.1666666666666667","1.1666666666666667","1.1666666666666667","1.1428571428571428","1.1428571428571428","1.1428571428571428","1.1428571428571428","1.1428571428571428","1.1428571428571428","1.1428571428571428","1.1428571428571428","1.2857142857142858"
"application-0009","RANDOM_GRAPH","SMALL","9","CONCENTRATE_INCOMING_EDGES","IMPROVE","0.3301158","0.3301158","0.3301158","0.3301158","0.3213675","0.3213675","0.3213675","0.3213675","0.3213675","0.2928661","0.2928661","0.2908497","0.2889952","0.2872881","0.2872881","0.2857143","0.2857143","0.2947658","0.2947658","0.2944099","0.2986111","0.5115830","0.5115830","0.5115830","0.5115830","0.4752137","0.4752137","0.4752137","0.4752137","0.4752137","0.5006258","0.5006258","0.4912854","0.5033493","0.5093220","0.5093220","0.5185185","0.5185185","0.5179063","0.5179063","0.5217391","0.5277778","0.2032967032967033","0.2032967032967033","0.2032967032967033","0.2032967032967033","0.18571428571428572","0.18571428571428572","0.18571428571428572","0.18571428571428572","0.18571428571428572","0.17279411764705882","0.17279411764705882","0.16666666666666666","0.1608187134502924","0.15526315789473685","0.15526315789473685","0.15","0.15","0.14285714285714285","0.14285714285714285","0.1383399209486166","0.13043478260869565","2.642857142857143","2.642857142857143","2.642857142857143","2.642857142857143","2.6","2.6","2.6","2.6","2.6","2.764705882352941","2.764705882352941","2.8333333333333335","2.8947368421052633","2.95","2.95","3.0","3.0","3.0","3.0","3.0434782608695654","3.0"
"application-0010","RANDOM_GRAPH","SMALL","7","CONCENTRATE_OUTGOING_EDGES","IMPROVE","0.4411765","0.4411765","0.4411765","0.4411765","0.4411765","0.4411765","0.4210526","0.4210526","0.4166667","0.4166667","0.4123077","0.4123077","0.4123077","0.4081633","0.4081633","0.4081633","0.3911111","0.3911111","0.3911111","0.3911111","0.3966387","0.4647059","0.4647059","0.4647059","0.4647059","0.4647059","0.4647059","0.4688995","0.4688995","0.4772727","0.4772727","0.4923077","0.4923077","0.4923077","0.4948980","0.4948980","0.4948980","0.4977778","0.4977778","0.4977778","0.4977778","0.5008403","0.18888888888888888","0.18888888888888888","0.18888888888888888","0.18888888888888888","0.18888888888888888","0.18888888888888888","0.17272727272727273","0.17272727272727273","0.16666666666666666","0.16666666666666666","0.16025641025641027","0.16025641025641027","0.16025641025641027","0.15384615384615385","0.15384615384615385","0.15384615384615385","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.12867647058823528","1.7","1.7","1.7","1.7","1.7","1.7","1.7272727272727273","1.7272727272727273","1.8333333333333333","1.8333333333333333","1.9230769230769231","1.9230769230769231","1.9230769230769231","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0588235294117645"
